Front Spring [N/m],Rear Spring [N/m],Raw Lap Time [s],Cones Hit,Total Time [s]
20000.0,20000.0,85.669,11,107.669
42918.0,20000.0,85.64,10,105.64
57082.0,20000.0,85.644,10,105.644
34164.1,20000.0,85.634,10,105.634
28753.9,20000.0,85.637,10,105.637
34626.2,20000.0,85.633,10,105.633
37793.3,20000.0,85.623,10,105.623
39750.8,20000.0,85.62,10,105.62
41189.1,20000.0,85.624,10,105.624
39375.3,20000.0,85.625,10,105.625
40300.2,20000.0,85.626,10,105.626
39960.6,20000.0,85.629,10,105.629
39584.1,20000.0,85.63,10,105.63
39750.8,42918.0,85.559,10,105.559
39750.8,57082.0,85.556,10,105.556
39750.8,65835.9,85.503,10,105.503
39750.8,71246.1,85.507,10,105.507
39750.8,67770.3,85.507,10,105.507
39750.8,62492.2,85.511,10,105.511
39750.8,64558.7,85.507,10,105.507
39750.8,66164.5,85.507,10,105.507
39750.8,65361.6,85.505,10,105.505
39750.8,65669.3,85.504,10,105.504
45854.1,80000.0,85.507,10,105.507
29875.4,42918.0,85.546,10,105.546
29875.4,42918.0,85.546,10,105.546
29875.4,57082.0,85.547,10,105.547
29875.4,34164.1,85.573,10,105.573
29875.4,49743.6,85.549,10,105.549
29875.4,39574.3,85.56,10,105.56
29875.4,45525.1,85.543,10,105.543
29875.4,47136.4,85.544,10,105.544
29875.4,45691.8,85.542,10,105.542
29875.4,46263.1,85.545,10,105.545
29875.4,45910.0,85.542,10,105.542
29875.4,46076.7,85.544,10,105.544
35181.9,58224.9,85.552,10,105.552
