Front Spring [N/m],Rear Spring [N/m],Raw Lap Time [s],Cones Hit,Total Time [s]
20000.0,20000.0,0.0,9,18.0
42918.0,20000.0,0.0,8,16.0
57082.0,20000.0,69.31,30,129.31
34164.1,20000.0,0.0,27,54.0
42571.8,20000.0,0.0,8,16.0
42405.1,20000.0,69.178,31,131.178
42738.5,20000.0,69.134,33,135.13400000000001
42571.8,42918.0,65.745,24,113.745
42571.8,57082.0,64.525,27,118.525
42571.8,34164.1,65.939,32,129.939
42571.8,48232.1,65.277,26,117.277
42571.8,39574.3,65.595,31,127.595
42571.8,44947.8,65.663,21,107.663
42571.8,45276.9,65.413,23,111.413
42571.8,44178.5,65.794,22,109.794
42571.8,44653.9,65.669,22,109.669
